Peer,KPI,vendor,value
Analysis Focus,Query Performance,InfoZoom,9.116044519
Analysis Focus,Query Performance,Microsoft Excel,1.983959267
Analysis Focus,Query Performance,Qlik Sense,5.898446936
Analysis Focus,Query Performance,Serviceware Perf.,10
Analysis Focus,Query Performance,Tableau,4.175101406
Analysis Focus,Query Performance,Peer Group Average,6.589007135
Analysis Focus,Performance Satisfaction,Bissantz,7.6
Analysis Focus,Performance Satisfaction,IBM Plan. Analytics,9.4
Analysis Focus,Performance Satisfaction,InfoZoom,10
Analysis Focus,Performance Satisfaction,Microsoft Excel,4.082191781
Analysis Focus,Performance Satisfaction,Qlik Sense,8.236734694
Analysis Focus,Performance Satisfaction,Serviceware Perf.,7.408
Analysis Focus,Performance Satisfaction,Tableau,6.2875
Analysis Focus,Performance Satisfaction,Peer Group Average,7.573489496
Analysis Focus,Sales Experience,Bissantz,6.729709315
Analysis Focus,Sales Experience,IBM Plan. Analytics,7.007978888
Analysis Focus,Sales Experience,InfoZoom,7.18968488
Analysis Focus,Sales Experience,Microsoft Excel,1.337711069
Analysis Focus,Sales Experience,Qlik Sense,5.374001608
Analysis Focus,Sales Experience,Serviceware Perf.,7.745054945
Analysis Focus,Sales Experience,Tableau,4.251330551
Analysis Focus,Sales Experience,Peer Group Average,5.662210179
Analysis Focus,Customer Experience,Bissantz,5.951200737
Analysis Focus,Customer Experience,IBM Plan. Analytics,6.997220011
Analysis Focus,Customer Experience,InfoZoom,7.422861093
Analysis Focus,Customer Experience,Microsoft Excel,3.967630282
Analysis Focus,Customer Experience,Qlik Sense,5.747138489
Analysis Focus,Customer Experience,Serviceware Perf.,7.813326282
Analysis Focus,Customer Experience,Tableau,5.965995071
Analysis Focus,Customer Experience,Peer Group Average,6.266481709
Analysis Focus,Cloud BI,Bissantz,1.524920467
Analysis Focus,Cloud BI,IBM Plan. Analytics,2.122122762
Analysis Focus,Cloud BI,InfoZoom,3.282608696
Analysis Focus,Cloud BI,Microsoft Excel,2.428035982
Analysis Focus,Cloud BI,Qlik Sense,3.591164095
Analysis Focus,Cloud BI,Serviceware Perf.,1.275919732
Analysis Focus,Cloud BI,Tableau,6.380434783
Analysis Focus,Cloud BI,Peer Group Average,2.943600931
Analysis Focus,Data Preparation,Bissantz,2.581081081
Analysis Focus,Data Preparation,IBM Plan. Analytics,5.304054054
Analysis Focus,Data Preparation,InfoZoom,10
Analysis Focus,Data Preparation,Microsoft Excel,6.681172698
Analysis Focus,Data Preparation,Qlik Sense,3.602195946
Analysis Focus,Data Preparation,Serviceware Perf.,7.180589681
Analysis Focus,Data Preparation,Tableau,4.217638691
Analysis Focus,Data Preparation,Peer Group Average,5.652390307
Analysis Focus,Visual Analysis,Bissantz,4.140495868
Analysis Focus,Visual Analysis,IBM Plan. Analytics,4.991046832
Analysis Focus,Visual Analysis,InfoZoom,8.004132231
Analysis Focus,Visual Analysis,Microsoft Excel,2.074380165
Analysis Focus,Visual Analysis,Qlik Sense,7.947157526
Analysis Focus,Visual Analysis,Serviceware Perf.,2.472107438
Analysis Focus,Visual Analysis,Tableau,9.982350469
Analysis Focus,Visual Analysis,Peer Group Average,5.658810076
Analysis Focus,Visual Design Standards,Bissantz,10
Analysis Focus,Visual Design Standards,IBM Plan. Analytics,8.095926413
Analysis Focus,Visual Design Standards,InfoZoom,3.128777924
Analysis Focus,Visual Design Standards,Microsoft Excel,2.98786591
Analysis Focus,Visual Design Standards,Qlik Sense,2.837908868
Analysis Focus,Visual Design Standards,Serviceware Perf.,4.200123676
Analysis Focus,Visual Design Standards,Tableau,6.836142376
Analysis Focus,Visual Design Standards,Peer Group Average,5.440963595
Analysis Focus,Location Intelligence,Bissantz,6.497005988
Analysis Focus,Location Intelligence,IBM Plan. Analytics,4.683691441
Analysis Focus,Location Intelligence,InfoZoom,2.215568862
Analysis Focus,Location Intelligence,Microsoft Excel,2.344365814
Analysis Focus,Location Intelligence,Qlik Sense,5.125621098
Analysis Focus,Location Intelligence,Serviceware Perf.,2.508982036
Analysis Focus,Location Intelligence,Tableau,10
Analysis Focus,Location Intelligence,Peer Group Average,4.767890748
Analysis Focus,Mobile BI,Bissantz,4.669527897
Analysis Focus,Mobile BI,IBM Plan. Analytics,3.78111588
Analysis Focus,Mobile BI,InfoZoom,2.840444332
Analysis Focus,Mobile BI,Microsoft Excel,2.335564123
Analysis Focus,Mobile BI,Qlik Sense,4.048594767
Analysis Focus,Mobile BI,Serviceware Perf.,3.644437108
Analysis Focus,Mobile BI,Tableau,4.034947885
Analysis Focus,Mobile BI,Peer Group Average,3.622090285
Analysis Focus,Operational BI,Bissantz,3.230808486
Analysis Focus,Operational BI,IBM Plan. Analytics,2.763322884
Analysis Focus,Operational BI,InfoZoom,9.678369906
Analysis Focus,Operational BI,Microsoft Excel,1
Analysis Focus,Operational BI,Qlik Sense,3.768416928
Analysis Focus,Operational BI,Serviceware Perf.,2.602507837
Analysis Focus,Operational BI,Tableau,5.922189879
Analysis Focus,Operational BI,Peer Group Average,4.137945131
Analysis Focus,Innovation,Bissantz,4.663405684
Analysis Focus,Innovation,IBM Plan. Analytics,4.534468609
Analysis Focus,Innovation,InfoZoom,5.592843136
Analysis Focus,Innovation,Microsoft Excel,2.835912099
Analysis Focus,Innovation,Qlik Sense,4.360776939
Analysis Focus,Innovation,Serviceware Perf.,3.412095358
Analysis Focus,Innovation,Tableau,6.640833097
Analysis Focus,Innovation,Peer Group Average,4.577190703
Analysis Focus,Considered for Purchase,Bissantz,2.930163717
Analysis Focus,Considered for Purchase,IBM Plan. Analytics,3.636984232
Analysis Focus,Considered for Purchase,InfoZoom,1.353410258
Analysis Focus,Considered for Purchase,Microsoft Excel,9.843656739
Analysis Focus,Considered for Purchase,Qlik Sense,7.714794901
Analysis Focus,Considered for Purchase,Serviceware Perf.,1.598078898
Analysis Focus,Considered for Purchase,Tableau,9.921828369
Analysis Focus,Considered for Purchase,Peer Group Average,5.285559588
Analysis Focus,Competitive Win Rate,Bissantz,4.538001825
Analysis Focus,Competitive Win Rate,IBM Plan. Analytics,6.020855057
Analysis Focus,Competitive Win Rate,InfoZoom,7.059854015
Analysis Focus,Competitive Win Rate,Microsoft Excel,5.260324935
Analysis Focus,Competitive Win Rate,Qlik Sense,5.268839759
Analysis Focus,Competitive Win Rate,Serviceware Perf.,8.01807973
Analysis Focus,Competitive Win Rate,Tableau,1.86680979
Analysis Focus,Competitive Win Rate,Peer Group Average,5.433252159
Analysis Focus,Competitiveness,Bissantz,3.894866582
Analysis Focus,Competitiveness,IBM Plan. Analytics,5.067306727
Analysis Focus,Competitiveness,InfoZoom,4.777276512
Analysis Focus,Competitiveness,Microsoft Excel,7.093657657
Analysis Focus,Competitiveness,Qlik Sense,6.247221816
Analysis Focus,Competitiveness,Serviceware Perf.,5.450079398
Analysis Focus,Competitiveness,Tableau,5.088817222
Analysis Focus,Competitiveness,Peer Group Average,5.37417513
Embedded Analytics Focus,Business Benefits,Domo,5.297596622
Embedded Analytics Focus,Business Benefits,Dundas,9.949872415
Embedded Analytics Focus,Business Benefits,Entrinsik,8.344433087
Embedded Analytics Focus,Business Benefits,IBM Cog. Analytics,4.208901753
Embedded Analytics Focus,Business Benefits,Logi Analytics ,7.12365737
Embedded Analytics Focus,Business Benefits,Looker,9.282630667
Embedded Analytics Focus,Business Benefits,Microsoft Power BI,4.657367998
Embedded Analytics Focus,Business Benefits,MicroStrategy,9.036133716
Embedded Analytics Focus,Business Benefits,Oracle Analytics Cloud,8.504890287
Embedded Analytics Focus,Business Benefits,Pyramid,6.29491762
Embedded Analytics Focus,Business Benefits,Qlik Sense,6.667829674
Embedded Analytics Focus,Business Benefits,Tableau,4.50169353
Embedded Analytics Focus,Business Benefits,TARGIT,8.120097748
Embedded Analytics Focus,Business Benefits,Zoho Analytics,8.840501215
Embedded Analytics Focus,Business Benefits,Peer Group Average,7.202180264
Embedded Analytics Focus,Project Success,Domo,3.194851583
Embedded Analytics Focus,Project Success,Dundas,6.257192124
Embedded Analytics Focus,Project Success,Entrinsik,8.980588742
Embedded Analytics Focus,Project Success,IBM Cog. Analytics,1
Embedded Analytics Focus,Project Success,Logi Analytics ,6.706614115
Embedded Analytics Focus,Project Success,Looker,4.438600813
Embedded Analytics Focus,Project Success,Microsoft Power BI,5.100784273
Embedded Analytics Focus,Project Success,MicroStrategy,5.568710534
Embedded Analytics Focus,Project Success,Oracle Analytics Cloud,4.658085971
Embedded Analytics Focus,Project Success,Pyramid,8.985079091
Embedded Analytics Focus,Project Success,Qlik Sense,5.379143742
Embedded Analytics Focus,Project Success,Tableau,4.580046804
Embedded Analytics Focus,Project Success,TARGIT,8.092622244
Embedded Analytics Focus,Project Success,Zoho Analytics,4.360019707
Embedded Analytics Focus,Project Success,Peer Group Average,5.521595696
Embedded Analytics Focus,Project Length,Domo,4.325123153
Embedded Analytics Focus,Project Length,Dundas,6
Embedded Analytics Focus,Project Length,Entrinsik,7.943573668
Embedded Analytics Focus,Project Length,IBM Cog. Analytics,1.724137931
Embedded Analytics Focus,Project Length,Logi Analytics ,7.769115442
Embedded Analytics Focus,Project Length,Looker,9.236074271
Embedded Analytics Focus,Project Length,Microsoft Power BI,4.268824771
Embedded Analytics Focus,Project Length,MicroStrategy,2.965517241
Embedded Analytics Focus,Project Length,Oracle Analytics Cloud,1.838287753
Embedded Analytics Focus,Project Length,Pyramid,4.170914543
Embedded Analytics Focus,Project Length,Qlik Sense,6.596667958
Embedded Analytics Focus,Project Length,Tableau,4.850574713
Embedded Analytics Focus,Project Length,TARGIT,9.448275862
Embedded Analytics Focus,Project Length,Zoho Analytics,9.258026159
Embedded Analytics Focus,Project Length,Peer Group Average,5.742508105
Embedded Analytics Focus,Business Value,Domo,4.434602697
Embedded Analytics Focus,Business Value,Dundas,8.060666916
Embedded Analytics Focus,Business Value,Entrinsik,8.489675069
Embedded Analytics Focus,Business Value,IBM Cog. Analytics,2.725140532
Embedded Analytics Focus,Business Value,Logi Analytics ,7.092219297
Embedded Analytics Focus,Business Value,Looker,7.66019465
Embedded Analytics Focus,Business Value,Microsoft Power BI,4.740416218
Embedded Analytics Focus,Business Value,MicroStrategy,6.868556576
Embedded Analytics Focus,Business Value,Oracle Analytics Cloud,6.111521759
Embedded Analytics Focus,Business Value,Pyramid,6.837637597
Embedded Analytics Focus,Business Value,Qlik Sense,6.226407411
Embedded Analytics Focus,Business Value,Tableau,4.585958152
Embedded Analytics Focus,Business Value,TARGIT,8.332302266
Embedded Analytics Focus,Business Value,Zoho Analytics,7.41659487
Embedded Analytics Focus,Business Value,Peer Group Average,6.398706715
Embedded Analytics Focus,Price to Value,Domo,5.624615385
Embedded Analytics Focus,Price to Value,Dundas,8.246700046
Embedded Analytics Focus,Price to Value,Entrinsik,10
Embedded Analytics Focus,Price to Value,IBM Cog. Analytics,1
Embedded Analytics Focus,Price to Value,Logi Analytics ,6.51183432
Embedded Analytics Focus,Price to Value,Looker,5.846153846
Embedded Analytics Focus,Price to Value,Microsoft Power BI,6.89972813
Embedded Analytics Focus,Price to Value,MicroStrategy,6.145336081
Embedded Analytics Focus,Price to Value,Oracle Analytics Cloud,7.592899408
Embedded Analytics Focus,Price to Value,Pyramid,8.059686133
Embedded Analytics Focus,Price to Value,Qlik Sense,5.615197758
Embedded Analytics Focus,Price to Value,Tableau,2.125443787
Embedded Analytics Focus,Price to Value,TARGIT,8.338461538
Embedded Analytics Focus,Price to Value,Zoho Analytics,6.626073678
Embedded Analytics Focus,Price to Value,Peer Group Average,6.330866436
Embedded Analytics Focus,Recommendation,Domo,4.399082569
Embedded Analytics Focus,Recommendation,Dundas,7.366339766
Embedded Analytics Focus,Recommendation,Entrinsik,9.127129751
Embedded Analytics Focus,Recommendation,IBM Cog. Analytics,1.751376147
Embedded Analytics Focus,Recommendation,Logi Analytics ,4.170832015
Embedded Analytics Focus,Recommendation,Looker,7.929357798
Embedded Analytics Focus,Recommendation,Microsoft Power BI,4.604649838
Embedded Analytics Focus,Recommendation,MicroStrategy,5.402001668
Embedded Analytics Focus,Recommendation,Oracle Analytics Cloud,5.996836444
Embedded Analytics Focus,Recommendation,Pyramid,7.366339766
Embedded Analytics Focus,Recommendation,Qlik Sense,5.956556935
Embedded Analytics Focus,Recommendation,Tableau,2.126797207
Embedded Analytics Focus,Recommendation,TARGIT,5.651376147
Embedded Analytics Focus,Recommendation,Zoho Analytics,5.764962866
Embedded Analytics Focus,Recommendation,Peer Group Average,5.543831351
Embedded Analytics Focus,Vendor Support,Domo,6.602288092
Embedded Analytics Focus,Vendor Support,Dundas,7.246445286
Embedded Analytics Focus,Vendor Support,Entrinsik,10
Embedded Analytics Focus,Vendor Support,IBM Cog. Analytics,1
Embedded Analytics Focus,Vendor Support,Logi Analytics ,7.614556996
Embedded Analytics Focus,Vendor Support,Looker,9.225562737
Embedded Analytics Focus,Vendor Support,Microsoft Power BI,3.967907288
Embedded Analytics Focus,Vendor Support,MicroStrategy,6.546112425
Embedded Analytics Focus,Vendor Support,Oracle Analytics Cloud,7.606284823
Embedded Analytics Focus,Vendor Support,Pyramid,8.8657232
Embedded Analytics Focus,Vendor Support,Qlik Sense,3.560588924
Embedded Analytics Focus,Vendor Support,Tableau,4.316904202
Embedded Analytics Focus,Vendor Support,TARGIT,8.345414681
Embedded Analytics Focus,Vendor Support,Zoho Analytics,3.206890716
Embedded Analytics Focus,Vendor Support,Peer Group Average,6.293191384
Embedded Analytics Focus,Implementer Support,Domo,7.01846087
Embedded Analytics Focus,Implementer Support,Dundas,6.884291609
Embedded Analytics Focus,Implementer Support,Entrinsik,8.932331332
Embedded Analytics Focus,Implementer Support,IBM Cog. Analytics,3.419532325
Embedded Analytics Focus,Implementer Support,Logi Analytics ,6.266299862
Embedded Analytics Focus,Implementer Support,Looker,8.543111562
Embedded Analytics Focus,Implementer Support,Microsoft Power BI,5.24661348
Embedded Analytics Focus,Implementer Support,MicroStrategy,5.693591994
Embedded Analytics Focus,Implementer Support,Oracle Analytics Cloud,8.917344004
Embedded Analytics Focus,Implementer Support,Pyramid,6.528394577
Embedded Analytics Focus,Implementer Support,Qlik Sense,4.528198074
Embedded Analytics Focus,Implementer Support,Tableau,4.528198074
Embedded Analytics Focus,Implementer Support,TARGIT,6.232219435
Embedded Analytics Focus,Implementer Support,Zoho Analytics,1
Embedded Analytics Focus,Implementer Support,Peer Group Average,5.981327657
Embedded Analytics Focus,Product Satisfaction,Domo,7.189764232
Embedded Analytics Focus,Product Satisfaction,Dundas,8.741845294
Embedded Analytics Focus,Product Satisfaction,Entrinsik,8.890988253
Embedded Analytics Focus,Product Satisfaction,IBM Cog. Analytics,1
Embedded Analytics Focus,Product Satisfaction,Logi Analytics ,5.192242866
Embedded Analytics Focus,Product Satisfaction,Looker,6.987924094
Embedded Analytics Focus,Product Satisfaction,Microsoft Power BI,5.839958309
Embedded Analytics Focus,Product Satisfaction,MicroStrategy,6.666627548
Embedded Analytics Focus,Product Satisfaction,Oracle Analytics Cloud,5.192242866
Embedded Analytics Focus,Product Satisfaction,Pyramid,6.514643771
Embedded Analytics Focus,Product Satisfaction,Qlik Sense,6.524879072
Embedded Analytics Focus,Product Satisfaction,Tableau,5.85027968
Embedded Analytics Focus,Product Satisfaction,TARGIT,8.820850753
Embedded Analytics Focus,Product Satisfaction,Zoho Analytics,6.103672061
Embedded Analytics Focus,Product Satisfaction,Peer Group Average,6.3939942
Embedded Analytics Focus,Customer Satisfaction,Domo,6.090497144
Embedded Analytics Focus,Customer Satisfaction,Dundas,7.601822948
Embedded Analytics Focus,Customer Satisfaction,Entrinsik,9.330029979
Embedded Analytics Focus,Customer Satisfaction,IBM Cog. Analytics,1.792727118
Embedded Analytics Focus,Customer Satisfaction,Logi Analytics ,5.829055333
Embedded Analytics Focus,Customer Satisfaction,Looker,7.794724119
Embedded Analytics Focus,Customer Satisfaction,Microsoft Power BI,5.247414784
Embedded Analytics Focus,Customer Satisfaction,MicroStrategy,6.000244425
Embedded Analytics Focus,Customer Satisfaction,Oracle Analytics Cloud,7.127116295
Embedded Analytics Focus,Customer Satisfaction,Pyramid,7.380359103
Embedded Analytics Focus,Customer Satisfaction,Qlik Sense,5.237966378
Embedded Analytics Focus,Customer Satisfaction,Tableau,3.712520098
Embedded Analytics Focus,Customer Satisfaction,TARGIT,7.221686724
Embedded Analytics Focus,Customer Satisfaction,Zoho Analytics,4.347346792
Embedded Analytics Focus,Customer Satisfaction,Peer Group Average,6.050965089
Embedded Analytics Focus,Dashboards,Domo,8.687289269
Embedded Analytics Focus,Dashboards,Dundas,10
Embedded Analytics Focus,Dashboards,Entrinsik,9.637617209
Embedded Analytics Focus,Dashboards,IBM Cog. Analytics,4.325260904
Embedded Analytics Focus,Dashboards,Logi Analytics ,8.76933369
Embedded Analytics Focus,Dashboards,Looker,6.30800107
Embedded Analytics Focus,Dashboards,Microsoft Power BI,7.975426762
Embedded Analytics Focus,Dashboards,MicroStrategy,9.013314183
Embedded Analytics Focus,Dashboards,Oracle Analytics Cloud,5.018731603
Embedded Analytics Focus,Dashboards,Pyramid,9.296762109
Embedded Analytics Focus,Dashboards,Qlik Sense,8.806253679
Embedded Analytics Focus,Dashboards,Tableau,8.216660834
Embedded Analytics Focus,Dashboards,TARGIT,9.615119803
Embedded Analytics Focus,Dashboards,Zoho Analytics,6.820546147
Embedded Analytics Focus,Dashboards,Peer Group Average,8.035022662
Embedded Analytics Focus,Distribution of Reports,Domo,7.980973451
Embedded Analytics Focus,Distribution of Reports,Dundas,8.728508217
Embedded Analytics Focus,Distribution of Reports,Entrinsik,10
Embedded Analytics Focus,Distribution of Reports,IBM Cog. Analytics,6.738495575
Embedded Analytics Focus,Distribution of Reports,Logi Analytics ,8.737335978
Embedded Analytics Focus,Distribution of Reports,Looker,7.12079646
Embedded Analytics Focus,Distribution of Reports,Microsoft Power BI,5.761132405
Embedded Analytics Focus,Distribution of Reports,MicroStrategy,9.339225436
Embedded Analytics Focus,Distribution of Reports,Oracle Analytics Cloud,8.045239548
Embedded Analytics Focus,Distribution of Reports,Pyramid,9.478867867
Embedded Analytics Focus,Distribution of Reports,Qlik Sense,3.92380531
Embedded Analytics Focus,Distribution of Reports,Tableau,6.777180784
Embedded Analytics Focus,Distribution of Reports,TARGIT,8.55829945
Embedded Analytics Focus,Distribution of Reports,Zoho Analytics,7.528128951
Embedded Analytics Focus,Distribution of Reports,Peer Group Average,7.765570674
Embedded Analytics Focus,Analyses & Ad Hoc Query,Domo,1
Embedded Analytics Focus,Analyses & Ad Hoc Query,Dundas,7.040866873
Embedded Analytics Focus,Analyses & Ad Hoc Query,Entrinsik,9.808592911
Embedded Analytics Focus,Analyses & Ad Hoc Query,IBM Cog. Analytics,4.941052632
Embedded Analytics Focus,Analyses & Ad Hoc Query,Logi Analytics ,3.706766917
Embedded Analytics Focus,Analyses & Ad Hoc Query,Looker,5.736842105
Embedded Analytics Focus,Analyses & Ad Hoc Query,Microsoft Power BI,6.939588101
Embedded Analytics Focus,Analyses & Ad Hoc Query,MicroStrategy,8.285156712
Embedded Analytics Focus,Analyses & Ad Hoc Query,Oracle Analytics Cloud,8.452631579
Embedded Analytics Focus,Analyses & Ad Hoc Query,Pyramid,9.221510297
Embedded Analytics Focus,Analyses & Ad Hoc Query,Qlik Sense,7.558373206
Embedded Analytics Focus,Analyses & Ad Hoc Query,Tableau,6.22406015
