Peer,vendor,KPI,value
All products,InfoZoom,Project Length,9.899053628
All products,Logi Analytics ,Project Length,3.981072555
All products,Looker,Project Length,7.458990536
All products,Microsoft Excel,Project Length,6.970357431
All products,Microsoft Power BI,Project Length,5.779179811
All products,MicroStrategy,Project Length,5.129337539
All products,Oracle Analytics Cloud,Project Length,2.987381703
All products,Phocas,Project Length,10
All products,Pyramid ,Project Length,5.911671924
All products,Qlik Sense,Project Length,7.458990536
All products,QlikView,Project Length,4.795180723
All products,Report One,Project Length,9.280757098
All products,SAP Analytics Cloud,Project Length,6.09530841
All products,SAP BO BI,Project Length,4.065641989
All products,SAS Platform,Project Length,1
All products,SAS Visual Analytics,Project Length,7.425867508
All products,Serviceware Perf.,Project Length,5.150120616
All products,Tableau,Project Length,6.291981513
All products,TARGIT,Project Length,6.142785987
All products,Zoho Analytics,Project Length,9.82631286
All products,Peer Group Average,Project Length,5.8051271
All products,Bissantz,Business Value,7.85568945
All products,CALUMO,Business Value,8.228546383
All products,Cubeware,Business Value,2.795493528
All products,DigDash,Business Value,4.711026743
All products,Domo,Business Value,5.758684294
All products,Dundas,Business Value,6.565409965
All products,Entrinsik,Business Value,7.617791732
All products,IBM Cog. Analytics,Business Value,3.444880179
All products,IBM Plan. Analytics,Business Value,6.061281309
All products,Infor d/EPM,Business Value,5.115810006
All products,InfoZoom,Business Value,8.078306268
All products,Logi Analytics ,Business Value,4.740238439
All products,Looker,Business Value,8.441363501
All products,Microsoft Excel,Business Value,2.357708519
All products,Microsoft Power BI,Business Value,5.706058303
All products,MicroStrategy,Business Value,6.176716777
All products,Oracle Analytics Cloud,Business Value,5.056580597
All products,Phocas,Business Value,9.646373465
All products,Pyramid ,Business Value,8.20612092
All products,Qlik Sense,Business Value,6.451007987
All products,QlikView,Business Value,6.413572239
All products,Report One,Business Value,6.378658688
All products,SAP Analytics Cloud,Business Value,4.857823857
All products,SAP BO BI,Business Value,3.179557486
All products,SAS Platform,Business Value,3.172584326
All products,SAS Visual Analytics,Business Value,5.371074606
All products,Serviceware Perf.,Business Value,6.885510579
All products,Tableau,Business Value,5.690685009
All products,TARGIT,Business Value,7.913700338
All products,Zoho Analytics,Business Value,6.763181011
All products,Peer Group Average,Business Value,5.988047883
All products,Bissantz,Price to Value,5.732144179
All products,CALUMO,Price to Value,8.922602018
All products,Cubeware,Price to Value,5.512874567
All products,DigDash,Price to Value,7.869597952
All products,Domo,Price to Value,6.089519651
All products,Dundas,Price to Value,8.736069869
All products,Entrinsik,Price to Value,10
All products,IBM Cog. Analytics,Price to Value,1
All products,IBM Plan. Analytics,Price to Value,5.127905339
All products,Infor d/EPM,Price to Value,5.258577667
All products,InfoZoom,Price to Value,7.56140164
All products,Logi Analytics ,Price to Value,5.881784155
All products,Looker,Price to Value,6.170305677
All products,Microsoft Excel,Price to Value,6.713645322
All products,Microsoft Power BI,Price to Value,7.608918374
All products,MicroStrategy,Price to Value,4.442098281
All products,Oracle Analytics Cloud,Price to Value,5.217030568
All products,Phocas,Price to Value,8.786730525
All products,Pyramid ,Price to Value,8.270742358
All products,Qlik Sense,Price to Value,5.03930131
All products,QlikView,Price to Value,5.091004367
All products,Report One,Price to Value,4.049020989
All products,SAP Analytics Cloud,Price to Value,4.150655022
All products,SAP BO BI,Price to Value,3.379515681
All products,SAS Platform,Price to Value,1.290829694
All products,SAS Visual Analytics,Price to Value,4.489956332
All products,Serviceware Perf.,Price to Value,7.869597952
All products,Tableau,Price to Value,3.479509573
All products,TARGIT,Price to Value,7.415360904
All products,Zoho Analytics,Price to Value,6.175057796
All products,Peer Group Average,Price to Value,5.911058592
All products,Bissantz,Recommendation,6.795892169
All products,CALUMO,Recommendation,8.364336562
All products,Cubeware,Recommendation,1
All products,DigDash,Recommendation,8.089858793
All products,Domo,Recommendation,6.132319542
All products,Dundas,Recommendation,6.795892169
All products,Entrinsik,Recommendation,8.952503209
All products,IBM Cog. Analytics,Recommendation,2.343533894
All products,IBM Plan. Analytics,Recommendation,6.795892169
All products,Infor d/EPM,Recommendation,1.188703466
All products,InfoZoom,Recommendation,8.80872914
All products,Logi Analytics ,Recommendation,3.83055199
All products,Looker,Recommendation,6.661103979
All products,Microsoft Excel,Recommendation,1.698447894
All products,Microsoft Power BI,Recommendation,5.409499358
All products,MicroStrategy,Recommendation,4.783055199
All products,Oracle Analytics Cloud,Recommendation,3.83055199
All products,Phocas,Recommendation,10
All products,Pyramid ,Recommendation,9.260590501
All products,Qlik Sense,Recommendation,6.256739409
All products,QlikView,Recommendation,5.652628486
All products,Report One,Recommendation,6.436456996
All products,SAP Analytics Cloud,Recommendation,2.023816677
All products,SAP BO BI,Recommendation,1.473192582
All products,SAS Platform,Recommendation,3.42618742
All products,SAS Visual Analytics,Recommendation,2.48267009
All products,Serviceware Perf.,Recommendation,6.542173224
All products,Tableau,Recommendation,4.187897424
All products,TARGIT,Recommendation,7.249915546
All products,Zoho Analytics,Recommendation,3.497545873
All products,Peer Group Average,Recommendation,5.332356192
All products,Bissantz,Vendor Support,9.446766508
All products,CALUMO,Vendor Support,9.501446562
All products,Cubeware,Vendor Support,1
All products,DigDash,Vendor Support,8.353165419
All products,Domo,Vendor Support,5.582709326
All products,Dundas,Vendor Support,8.353165419
All products,Entrinsik,Vendor Support,9.743728104
All products,IBM Cog. Analytics,Vendor Support,2.396414795
All products,IBM Plan. Analytics,Vendor Support,3.772610972
All products,Infor d/EPM,Vendor Support,5.258679374
All products,InfoZoom,Vendor Support,9.075450789
All products,Logi Analytics ,Vendor Support,8.043311777
All products,Looker,Vendor Support,9.147038802
All products,Microsoft Excel,Vendor Support,3.349363642
All products,Microsoft Power BI,Vendor Support,6.10274341
All products,MicroStrategy,Vendor Support,6.423281144
All products,Oracle Analytics Cloud,Vendor Support,4.46480599
All products,Phocas,Vendor Support,9.915452689
All products,Pyramid ,Vendor Support,9.290537781
All products,Qlik Sense,Vendor Support,4.0748654
All products,QlikView,Vendor Support,4.617187644
All products,Report One,Vendor Support,3.654208481
All products,SAP Analytics Cloud,Vendor Support,5.551010744
All products,SAP BO BI,Vendor Support,1.980258679
All products,SAS Platform,Vendor Support,6.357343431
All products,SAS Visual Analytics,Vendor Support,7.509530293
All products,Serviceware Perf.,Vendor Support,10
All products,Tableau,Vendor Support,6.499251191
All products,TARGIT,Vendor Support,8.419444273
All products,Zoho Analytics,Vendor Support,3.560135269
All products,Peer Group Average,Vendor Support,6.381463597
All products,Bissantz,Implementer Support,7.896159317
All products,CALUMO,Implementer Support,8.358108108
All products,Cubeware,Implementer Support,2.459459459
All products,DigDash,Implementer Support,6.428165007
All products,Domo,Implementer Support,4.287977633
All products,Dundas,Implementer Support,7.683901293
All products,Entrinsik,Implementer Support,8.722972973
All products,IBM Cog. Analytics,Implementer Support,2.801801802
All products,IBM Plan. Analytics,Implementer Support,6.09972041
All products,Infor d/EPM,Implementer Support,5.495806151
All products,InfoZoom,Implementer Support,7.810810811
All products,Logi Analytics ,Implementer Support,4.315315315
All products,Looker,Implementer Support,7.28009828
All products,Microsoft Excel,Implementer Support,1.827027027
All products,Microsoft Power BI,Implementer Support,4.437364372
All products,MicroStrategy,Implementer Support,4.332432432
All products,Oracle Analytics Cloud,Implementer Support,6.526486486
All products,Phocas,Implementer Support,9.314496314
All products,Pyramid ,Implementer Support,7.810810811
All products,Qlik Sense,Implementer Support,3.035414725
All products,QlikView,Implementer Support,5.725868726
All products,Report One,Implementer Support,1.425675676
All products,SAP Analytics Cloud,Implementer Support,5.706473916
All products,SAP BO BI,Implementer Support,4.099099099
All products,SAS Platform,Implementer Support,4.683397683
All products,SAS Visual Analytics,Implementer Support,4.243243243
All products,Serviceware Perf.,Implementer Support,10
All products,Tableau,Implementer Support,4.456232352
All products,TARGIT,Implementer Support,6.594594595
All products,Zoho Analytics,Implementer Support,1
All products,Peer Group Average,Implementer Support,5.495297134
All products,Bissantz,Product Satisfaction,8.736842105
All products,CALUMO,Product Satisfaction,8.449930135
All products,Cubeware,Product Satisfaction,1
All products,DigDash,Product Satisfaction,7.876106195
All products,Domo,Product Satisfaction,8.008527104
All products,Dundas,Product Satisfaction,8.971588263
All products,Entrinsik,Product Satisfaction,9.306939916
All products,IBM Cog. Analytics,Product Satisfaction,5.387292095
All products,IBM Plan. Analytics,Product Satisfaction,8.26023627
All products,Infor d/EPM,Product Satisfaction,4.641825803
All products,InfoZoom,Product Satisfaction,9.701909641
All products,Logi Analytics ,Product Satisfaction,6.428504891
All products,Looker,Product Satisfaction,8.482533768
All products,Microsoft Excel,Product Satisfaction,3.937587331
All products,Microsoft Power BI,Product Satisfaction,7.937587331
All products,MicroStrategy,Product Satisfaction,6.798012731
All products,Oracle Analytics Cloud,Product Satisfaction,6.721937587
All products,Phocas,Product Satisfaction,10
All products,Pyramid ,Product Satisfaction,8.837447601
All products,Qlik Sense,Product Satisfaction,7.292501164
All products,QlikView,Product Satisfaction,7.387528826
All products,Report One,Product Satisfaction,6.537183667
All products,SAP Analytics Cloud,Product Satisfaction,5.541963551
All products,SAP BO BI,Product Satisfaction,4.726179033
All products,SAS Platform,Product Satisfaction,7.015370284
All products,SAS Visual Analytics,Product Satisfaction,6.154634374
All products,Serviceware Perf.,Product Satisfaction,8.603358996
All products,Tableau,Product Satisfaction,7.479403386
All products,TARGIT,Product Satisfaction,8.395018753
All products,Zoho Analytics,Product Satisfaction,7.498671196
All products,Peer Group Average,Product Satisfaction,7.2038874
All products,Bissantz,Customer Satisfaction,7.65897167
All products,CALUMO,Customer Satisfaction,8.65960762
All products,Cubeware,Customer Satisfaction,2.117010626
All products,DigDash,Customer Satisfaction,7.645984211
All products,Domo,Customer Satisfaction,5.885200307
All products,Dundas,Customer Satisfaction,7.963418957
All products,Entrinsik,Customer Satisfaction,9.260647049
All products,IBM Cog. Analytics,Customer Satisfaction,2.750285072
All products,IBM Plan. Analytics,Customer Satisfaction,6.084028575
All products,Infor d/EPM,Customer Satisfaction,4.197641212
All products,InfoZoom,Customer Satisfaction,8.544678666
All products,Logi Analytics ,Customer Satisfaction,5.42873363
All products,Looker,Customer Satisfaction,7.451946939
All products,Microsoft Excel,Customer Satisfaction,3.214801446
All products,Microsoft Power BI,Customer Satisfaction,6.069924118
All products,MicroStrategy,Customer Satisfaction,5.2227706
All products,Oracle Analytics Cloud,Customer Satisfaction,5.323221977
All products,Phocas,Customer Satisfaction,9.612321281
All products,Pyramid ,Customer Satisfaction,8.667638285
All products,Qlik Sense,Customer Satisfaction,5.057483179
All products,QlikView,Customer Satisfaction,5.693911109
All products,Report One,Customer Satisfaction,4.338935357
All products,SAP Analytics Cloud,Customer Satisfaction,4.473177534
All products,SAP BO BI,Customer Satisfaction,3.074065152
All products,SAS Platform,Customer Satisfaction,4.471320177
All products,SAS Visual Analytics,Customer Satisfaction,4.707165166
All products,Serviceware Perf.,Customer Satisfaction,8.547702797
All products,Tableau,Customer Satisfaction,5.070726469
All products,TARGIT,Customer Satisfaction,7.499431524
All products,Zoho Analytics,Customer Satisfaction,3.996697179
All products,Peer Group Average,Customer Satisfaction,5.95631493
All products,Bissantz,Dashboards,7.594905851
All products,CALUMO,Dashboards,5.960720181
All products,Cubeware,Dashboards,2.710764122
All products,DigDash,Dashboards,7.985036987
All products,Domo,Dashboards,8.294371735
All products,Dundas,Dashboards,8.504521949
All products,Entrinsik,Dashboards,8.182246133
All products,IBM Cog. Analytics,Dashboards,4.652949216
All products,IBM Plan. Analytics,Dashboards,3.779873487
All products,Infor d/EPM,Dashboards,2.283120377
All products,InfoZoom,Dashboards,6.947944199
All products,Logi Analytics ,Dashboards,6.368243527
All products,Looker,Dashboards,7.54989072
All products,Microsoft Excel,Dashboards,1
All products,Microsoft Power BI,Dashboards,7.410558171
All products,MicroStrategy,Dashboards,7.102268348
All products,Oracle Analytics Cloud,Dashboards,5.524209818
All products,Phocas,Dashboards,10
All products,Pyramid ,Dashboards,9.536987223
All products,Qlik Sense,Dashboards,7.478058064
All products,QlikView,Dashboards,7.281426986
All products,Report One,Dashboards,5.374159381
All products,SAP Analytics Cloud,Dashboards,6.367046316
All products,SAP BO BI,Dashboards,3.539451764
All products,SAS Platform,Dashboards,3.226885885
All products,SAS Visual Analytics,Dashboards,6.78463349
All products,Serviceware Perf.,Dashboards,6.918226783
All products,Tableau,Dashboards,8.299260256
All products,TARGIT,Dashboards,7.893427247
All products,Zoho Analytics,Dashboards,7.324815064
All products,Peer Group Average,Dashboards,6.395866776
All products,Bissantz,Distribution of Reports,8.459679032
All products,CALUMO,Distribution of Reports,6.516893057
All products,Cubeware,Distribution of Reports,6.842454175
All products,DigDash,Distribution of Reports,5.281444743
All products,Domo,Distribution of Reports,7.964354925
All products,Dundas,Distribution of Reports,7.904597325
All products,Entrinsik,Distribution of Reports,10
All products,IBM Cog. Analytics,Distribution of Reports,7.677518444
All products,IBM Plan. Analytics,Distribution of Reports,4.205409114
All products,Infor d/EPM,Distribution of Reports,4.801185962
All products,InfoZoom,Distribution of Reports,6.300627456
All products,Logi Analytics ,Distribution of Reports,6.842454175
All products,Looker,Distribution of Reports,8.614218825
All products,Microsoft Excel,Distribution of Reports,1
All products,Microsoft Power BI,Distribution of Reports,5.44223992
All products,MicroStrategy,Distribution of Reports,9.164662484
All products,Oracle Analytics Cloud,Distribution of Reports,6.485354323
All products,Phocas,Distribution of Reports,9.602282286
All products,Pyramid ,Distribution of Reports,9.17761529
All products,Qlik Sense,Distribution of Reports,4.596082457
All products,QlikView,Distribution of Reports,3.873947201
All products,Report One,Distribution of Reports,3.28732676
All products,SAP Analytics Cloud,Distribution of Reports,4.597144069
All products,SAP BO BI,Distribution of Reports,2.746419764
All products,SAS Platform,Distribution of Reports,3.842408467
All products,SAS Visual Analytics,Distribution of Reports,3.43871268
All products,Serviceware Perf.,Distribution of Reports,5.305805695
All products,Tableau,Distribution of Reports,5.582412068
All products,TARGIT,Distribution of Reports,8.880638126
All products,Zoho Analytics,Distribution of Reports,6.368475488
All products,Peer Group Average,Distribution of Reports,6.16007881
All products,Bissantz,Ad Hoc Query,7.570806336
All products,CALUMO,Ad Hoc Query,8.000648444
All products,Cubeware,Ad Hoc Query,2.234537111
All products,DigDash,Ad Hoc Query,4.712434158
All products,Domo,Ad Hoc Query,4.768418652
All products,Dundas,Ad Hoc Query,6.638024297
All products,Entrinsik,Ad Hoc Query,9.398802873
All products,IBM Cog. Analytics,Ad Hoc Query,6.214684757
All products,IBM Plan. Analytics,Ad Hoc Query,8.144453312
All products,Infor d/EPM,Ad Hoc Query,4.309656824
All products,InfoZoom,Ad Hoc Query,10
All products,Logi Analytics ,Ad Hoc Query,4.807028648
All products,Looker,Ad Hoc Query,7.268156425
All products,Microsoft Excel,Ad Hoc Query,1.631640366
All products,Microsoft Power BI,Ad Hoc Query,6.066241022
All products,MicroStrategy,Ad Hoc Query,6.104602886
All products,Oracle Analytics Cloud,Ad Hoc Query,6.320031923
All products,Phocas,Ad Hoc Query,9.672550584
All products,Pyramid ,Ad Hoc Query,8.231773156
All products,Qlik Sense,Ad Hoc Query,5.855809793
All products,QlikView,Ad Hoc Query,4.540981644
All products,Report One,Ad Hoc Query,4.485751843
All products,SAP Analytics Cloud,Ad Hoc Query,3.819792498
All products,SAP BO BI,Ad Hoc Query,4.456197434
All products,SAS Platform,Ad Hoc Query,6.320031923
All products,SAS Visual Analytics,Ad Hoc Query,3.60207502
All products,Serviceware Perf.,Ad Hoc Query,9.533120511
All products,Tableau,Ad Hoc Query,5.369428665
All products,TARGIT,Ad Hoc Query,6.24800886
All products,Zoho Analytics,Ad Hoc Query,1
All products,Peer Group Average,Ad Hoc Query,5.910856332
All products,Bissantz,Analyses,8.726910828
All products,CALUMO,Analyses,6.74741242
All products,Cubeware,Analyses,3.603503185
All products,DigDash,Analyses,6.522292994
All products,Domo,Analyses,6.605095541
All products,Dundas,Analyses,7.875686361
All products,Entrinsik,Analyses,7.401273885
All products,IBM Cog. Analytics,Analyses,3.417197452
All products,IBM Plan. Analytics,Analyses,6.849739433
All products,Infor d/EPM,Analyses,3.789808917
All products,InfoZoom,Analyses,10
All products,Logi Analytics ,Analyses,2.286514386
All products,Looker,Analyses,7.620720541
All products,Microsoft Excel,Analyses,1
All products,Microsoft Power BI,Analyses,5.980312681
All products,MicroStrategy,Analyses,6.740720404
All products,Oracle Analytics Cloud,Analyses,6.456309713
All products,Phocas,Analyses,9.059599636
All products,Pyramid ,Analyses,7.835304823
All products,Qlik Sense,Analyses,7.896635281
All products,QlikView,Analyses,6.083838539
All products,Report One,Analyses,5.439945405
All products,SAP Analytics Cloud,Analyses,6.199891584
All products,SAP BO BI,Analyses,2.145458322
All products,SAS Platform,Analyses,5.963375796
All products,SAS Visual Analytics,Analyses,5.652866242
All products,Serviceware Perf.,Analyses,9.565286624
All products,Tableau,Analyses,5.14108664
All products,TARGIT,Analyses,6.770700637
All products,Zoho Analytics,Analyses,3.195959395
All products,Peer Group Average,Analyses,6.085781589
All products,Bissantz,Advanced Analytics,4.849081104
All products,CALUMO,Advanced Analytics,4.627211138
All products,Cubeware,Advanced Analytics,1
All products,DigDash,Advanced Analytics,2.60781998
All products,Domo,Advanced Analytics,4.635484414
All products,Dundas,Advanced Analytics,5.494062956
All products,Entrinsik,Advanced Analytics,5.855543981
All products,IBM Cog. Analytics,Advanced Analytics,2.420116597
All products,IBM Plan. Analytics,Advanced Analytics,4.845498033
All products,Infor d/EPM,Advanced Analytics,2.247972882
All products,InfoZoom,Advanced Analytics,5.573369235
All products,Logi Analytics ,Advanced Analytics,1.341653199
All products,Looker,Advanced Analytics,2.512630889
All products,Microsoft Excel,Advanced Analytics,2.184583344
All products,Microsoft Power BI,Advanced Analytics,4.589271901
All products,MicroStrategy,Advanced Analytics,4.663846519
All products,Oracle Analytics Cloud,Advanced Analytics,5.627027709
All products,Phocas,Advanced Analytics,7.491317633
All products,Pyramid ,Advanced Analytics,5.619278109
All products,Qlik Sense,Advanced Analytics,4.989508745
All products,QlikView,Advanced Analytics,4.524313903
All products,Report One,Advanced Analytics,2.299546459
All products,SAP Analytics Cloud,Advanced Analytics,6.481205673
All products,SAP BO BI,Advanced Analytics,1.37709116
All products,SAS Platform,Advanced Analytics,9.877524132
All products,SAS Visual Analytics,Advanced Analytics,10
All products,Serviceware Perf.,Advanced Analytics,2.862780543
All products,Tableau,Advanced Analytics,5.018726741
All products,TARGIT,Advanced Analytics,5.904286296
All products,Zoho Analytics,Advanced Analytics,5.205097471
All products,Peer Group Average,Advanced Analytics,4.557528358
All products,Bissantz,Planning and Budgeting,6.141253508
All products,CALUMO,Planning and Budgeting,8.700654818
All products,Cubeware,Planning and Budgeting,3.424695978
All products,IBM Plan. Analytics,Planning and Budgeting,10
All products,Infor d/EPM,Planning and Budgeting,7.077997484
All products,SAP Analytics Cloud,Planning and Budgeting,6.334002601
All products,Serviceware Perf.,Planning and Budgeting,9.553788587
All products,Peer Group Average,Planning and Budgeting,7.318913282
All products,Bissantz,Functionality,7.223772776
All products,CALUMO,Functionality,6.758923343
All products,Cubeware,Functionality,3.302659095
All products,DigDash,Functionality,5.421805772
All products,Domo,Functionality,6.453545053
All products,Dundas,Functionality,7.283378578
All products,Entrinsik,Functionality,8.167573374
All products,IBM Cog. Analytics,Functionality,4.876493293
All products,IBM Plan. Analytics,Functionality,6.30416223
All products,Infor d/EPM,Functionality,4.084957074
All products,InfoZoom,Functionality,7.764388178
All products,Logi Analytics ,Functionality,4.329178787
All products,Looker,Functionality,6.71312348
All products,Microsoft Excel,Functionality,1.363244742
All products,Microsoft Power BI,Functionality,5.897724739
All products,MicroStrategy,Functionality,6.755220128
All products,Oracle Analytics Cloud,Functionality,6.082586698
All products,Phocas,Functionality,9.165150028
All products,Pyramid ,Functionality,8.08019172
All products,Qlik Sense,Functionality,6.163218868
All products,QlikView,Functionality,5.260901654
All products,Report One,Functionality,4.17734597
All products,SAP Analytics Cloud,Functionality,5.633180457
All products,SAP BO BI,Functionality,2.852923689
All products,SAS Platform,Functionality,5.846045241
All products,SAS Visual Analytics,Functionality,5.895657486
All products,Serviceware Perf.,Functionality,7.289834791
All products,Tableau,Functionality,5.882182874
All products,TARGIT,Functionality,7.139412233
All products,Zoho Analytics,Functionality,4.618869483
All products,Peer Group Average,Functionality,5.892921728
All products,Bissantz,Self-Service,6.93852459
All products,CALUMO,Self-Service,6.63338301
All products,Cubeware,Self-Service,5.03432377
All products,DigDash,Self-Service,1.516393443
All products,Domo,Self-Service,4.575031526
All products,Dundas,Self-Service,1
All products,Entrinsik,Self-Service,7.639344262
All products,IBM Cog. Analytics,Self-Service,5.331041777
All products,IBM Plan. Analytics,Self-Service,6.63338301
All products,Infor d/EPM,Self-Service,3.581967213
All products,InfoZoom,Self-Service,6.508196721
All products,Logi Analytics ,Self-Service,2.129610656
All products,Looker,Self-Service,7.939036885
All products,Microsoft Excel,Self-Service,1.597480016
All products,Microsoft Power BI,Self-Service,5.149590164
All products,MicroStrategy,Self-Service,7.024590164
All products,Oracle Analytics Cloud,Self-Service,6.002561475
All products,Phocas,Self-Service,10
All products,Pyramid ,Self-Service,9.114754098
All products,Qlik Sense,Self-Service,5.518442623
All products,QlikView,Self-Service,3.115346632
All products,Report One,Self-Service,4.442622951
All products,SAP Analytics Cloud,Self-Service,7.372514824
All products,SAP BO BI,Self-Service,6.054063481
All products,SAS Platform,Self-Service,1.645491803
All products,SAS Visual Analytics,Self-Service,5.131147541
All products,Serviceware Perf.,Self-Service,5.404532305
All products,Tableau,Self-Service,5.563476935
All products,TARGIT,Self-Service,2.358930112
All products,Zoho Analytics,Self-Service,2.215043394
All products,Peer Group Average,Self-Service,5.105694179
All products,Bissantz,Ease of Use,5.906586196
All products,CALUMO,Ease of Use,5.525728399
All products,Cubeware,Ease of Use,1
All products,DigDash,Ease of Use,7.590330014
All products,Domo,Ease of Use,8.64213205
All products,Dundas,Ease of Use,3.645446444
All products,Entrinsik,Ease of Use,9.342870093
All products,IBM Cog. Analytics,Ease of Use,1.630756758
All products,IBM Plan. Analytics,Ease of Use,4.601530611
All products,Infor d/EPM,Ease of Use,3.91791264
All products,InfoZoom,Ease of Use,4.17952022
All products,Logi Analytics ,Ease of Use,6.755384681
All products,Looker,Ease of Use,6.039206062
All products,Microsoft Excel,Ease of Use,4.87676115
All products,Microsoft Power BI,Ease of Use,5.538303044
All products,MicroStrategy,Ease of Use,4.022222539
All products,Oracle Analytics Cloud,Ease of Use,2.797940443
All products,Phocas,Ease of Use,9.407528389
All products,Pyramid ,Ease of Use,8.33898726
All products,Qlik Sense,Ease of Use,5.872213014
All products,QlikView,Ease of Use,5.535901843
All products,Report One,Ease of Use,10
All products,SAP Analytics Cloud,Ease of Use,2.999306332
All products,SAP BO BI,Ease of Use,3.479501782
All products,SAS Platform,Ease of Use,1.272398473
All products,SAS Visual Analytics,Ease of Use,4.82758484
All products,Serviceware Perf.,Ease of Use,8.145410425
All products,Tableau,Ease of Use,6.32077136
All products,TARGIT,Ease of Use,4.590678605
All products,Zoho Analytics,Ease of Use,8.185191168
All products,Peer Group Average,Ease of Use,5.499603494
All products,Bissantz,Flexibility,3.862771761
All products,CALUMO,Flexibility,6.561242148
All products,Cubeware,Flexibility,3.462187791
All products,DigDash,Flexibility,7.431699414
All products,Domo,Flexibility,5.13856645
All products,Dundas,Flexibility,10
All products,Entrinsik,Flexibility,1.910659618
All products,IBM Cog. Analytics,Flexibility,2.512008747
All products,IBM Plan. Analytics,Flexibility,9.665585408
All products,Infor d/EPM,Flexibility,4.641525457
All products,InfoZoom,Flexibility,8.361476821
All products,Logi Analytics ,Flexibility,6.855233753
All products,Looker,Flexibility,8.256398808
All products,Microsoft Excel,Flexibility,5.491042551
All products,Microsoft Power BI,Flexibility,4.352797499
All products,MicroStrategy,Flexibility,3.897457814
All products,Oracle Analytics Cloud,Flexibility,2.315186808
All products,Phocas,Flexibility,5.268196253
All products,Pyramid ,Flexibility,5.42979999
All products,Qlik Sense,Flexibility,5.693151525
All products,QlikView,Flexibility,6.71586824
All products,Report One,Flexibility,4.447921475
All products,SAP Analytics Cloud,Flexibility,1.065965273
All products,SAP BO BI,Flexibility,1
All products,SAS Platform,Flexibility,4.053698458
All products,SAS Visual Analytics,Flexibility,3.790949679
All products,Serviceware Perf.,Flexibility,8.437233774
All products,Tableau,Flexibility,5.035188969
All products,TARGIT,Flexibility,2.942729015
All products,Zoho Analytics,Flexibility,6.475132778
All products,Peer Group Average,Flexibility,5.169055876
All products,Bissantz,Query Performance,5.961052101
All products,CALUMO,Query Performance,8.354789915
